id;verification_question;verification_question_choice;verification_answer
1;Path ubiquitous Light;Garden Island;artificial
2;Bedfordshire;Keyboard Rubber;Rubber paradigms
3;Beauty pink;microchip orchid;Dollar override
4;invoice indigo vortals;Berkshire;Triple-buffered internet
5;Bhutanese;Tools Exclusive Metrics;interfaces 4th Borders
6;cross-platform analyzing;Baht;British Awesome Multi-channelled
7;Belgium Incredible payment;Executive pink Electronics;Applications Developer Outdoors
8;Mouse;networks Unbranded;Synergistic motivating
9;embrace;bypassing;SMS United
10;connecting;Brand Communications;Tasty array structure
