id;name;href;status;description;billing_account_number;customer_id;currency_code
1;parallelism circuit Branding;Tenge workforce transmitter;copying Usability Rican;bus Chips;29964;45908;97604
2;Tuna B2C Coordinator;Orchestrator hard;Synergized Account Investment;Innovative;22817;87174;97842
3;Principal Computer Nebraska;Associate Steel;Bedfordshire Track;Berkshire Stream;40631;61214;88961
4;synthesize azure Internal;card;port Ergonomic Jamahiriya;Optimization;90601;30572;89036
5;Frozen;salmon;withdrawal Dynamic violet;Agent Corporate;445;13691;36277
6;Rapid Clothing;Soap seize;Loan eco-centric Carolina;Points Steel primary;74671;66802;64266
7;Maine deposit;Games compressing Shoes;Incredible orchestrate;Bedfordshire input;82613;73885;76917
8;Plastic Pants Franc;Berkshire deposit Cambridgeshire;Borders;upward-trending;67479;16372;46762
9;Soft synergize compressing;Home Road Towels;Generic neutral;Networked Rial Architect;68261;23465;55259
10;Right-sized Cotton cross-media;Fresh Drives;Plastic;Shoes back-end;26330;88362;72995
