id;type;street_1;street_2;city;state_or_province;country;post_code;phone_number;email_address;fax_number;latitude;longitude;sv_contact_id;is_email_valid;is_address_valid;cust_contact_medium_id
1;Avon Metrics partnerships;Riyal Customer-focused silver;Grenada;Boganside;Rubber capacitor;Azerbaijan;88137;87980;Burundi payment;72830;49704;83243;72197;81834;true;81363
2;empower Awesome;wireless Planner benchmark;Cambridgeshire Sleek;Gutkowskiburgh;Dinar;Liberia;94086;99802;reboot;94087;77236;77112;91845;43402;true;12304
3;program EXE Table;Unions Minnesota;payment lavender Shoal;Jaredshire;Optimization salmon;Brazil;20703;78812;SQL Salad brand;66096;17870;33490;80362;50869;false;87463
4;Customer-focused Re-engineered synthesizing;Agent tertiary Shirt;synthesize Islands hybrid;East Herminiohaven;parse Tasty Guam;Slovenia;66;34992;Pre-emptive index;54277;19148;43120;40424;85941;true;29605
5;interface intermediate Granite;Home;hub;Gaylordchester;Investment;Norway;88923;84042;24/365 SSL;41538;38840;84382;90459;713;true;67666
6;Ranch Fresh blue;Fantastic application;zero Representative;West Emmitttown;Card;Bahamas;11918;62638;interfaces blockchains yellow;82915;94017;11920;595;11123;false;226
7;feed;hacking synthesize open-source;Locks;Hanford;Music benchmark;Portugal;62957;58662;Buckinghamshire Loan;33469;67792;1632;54466;3744;false;58608
8;Steel Awesome;overriding connecting input;Kids;Kodyfurt;Unbranded optimize Ergonomic;Ecuador;79638;70519;Refined optical;22998;6585;67634;98965;88050;false;8561
9;Belgium Directives success;Dynamic 1080p Paradigm;Cheese paradigms Buckinghamshire;North Raphaelle;magenta global;Liechtenstein;88500;20231;matrix uniform defect;89348;39898;65851;23486;3969;true;68510
10;Granite;Investor teal Gloves;Buckinghamshire SDD;Pittsfield;transition Markets;Pakistan;1794;27881;Borders leverage;88285;46075;19376;23980;99881;false;48553
