id;type;street_1;street_2;city;state_or_province;country;post_code;phone_number;email_address;fax_number;latitude;longitude;sv_contact_id;is_email_valid;is_address_valid;individual_contact_id
1;Frozen;SDD;Regional;New Gust;Division Shoes portals;Burkina Faso;28331;63348;Computer Programmable;34275;59157;38748;98690;true;true;67645
2;maximize compress eco-centric;Indian invoice;Sri calculating;Yasminborough;Soft tan;Panama;45998;25589;Corporate withdrawal;82989;53174;9837;43768;true;false;70930
3;Cotton withdrawal Dollar;Consultant Angola Intranet;Right-sized;Alvahaven;Bedfordshire;Guernsey;81568;7242;calculate;2975;4404;40604;4759;false;true;27529
4;Hong;Director core;Beauty;East Aron;SMS Cotton;Gibraltar;62331;21973;Mandatory;72125;52840;31148;6312;true;false;15368
5;AGP implement Soft;Berkshire Wooden middleware;generate;Lake Albertochester;Sausages Implemented;Swaziland;81450;25220;Cross-platform Designer Coordinator;11837;55403;89066;82271;false;false;4963
6;Steel Steel scalable;systems mobile;Markets deposit;Kendall;Soft integrated compress;Cote d'Ivoire;11192;5332;index Won generate;39146;69648;21986;81305;true;false;75693
7;Belarus withdrawal;context-sensitive invoice;Planner Bedfordshire;Delphatown;quantifying Home;Panama;12843;13396;Director;11923;37943;44562;29784;true;true;66978
8;Fantastic;partnerships Nevada haptic;groupware;Aspen Hill;Card Aruban National;Holy See (Vatican City State);76308;10379;Checking Avon supply-chains;87300;83933;53188;82062;false;false;98789
9;Card Global Pass;robust Response;Islands District;South Florenceburgh;States;Norfolk Island;96080;35031;target heuristic;76238;55527;83126;65975;true;false;9389
10;Home Pa'anga;Pants withdrawal;Bahamian;East Jarvis;zero;Tuvalu;40357;16508;Crossroad South white;89568;8718;90436;12502;true;false;4000
